NAME OF COMPANY, ISIN NUMBER
182TB28526,IN002025Y354
20 Microns Limited,INE144J01027
21st Century Management Services Limited,INE253B01015
360 ONE Mutual Fund,INF579M01BB5
360 ONE Mutual Fund,INF579M01BC3
360 ONE WAM LIMITED,INE466L01038
360ONEPL-9.44%-12-6-34-NCD,INE248U07FI4
360OPL-9.21%-18-1-27-NCD,INE248U07ET4
364T261126,IN002025Z351
3B BlackBio Dx Limited,INE994E01018
3B FILMS LIMITED,INE0TE101010
3C IT Solutions and Telecoms (,INE0R7D01018
3i Infotech Limited,INE748C01038
3M India Limited,INE470A01017
3P Land Holdings Limited,INE105C01023
5Paisa Capital Limited,INE618L01018
63 moons technologies limited,INE111B01023
663TMLSDL55,IN3120200206
676GOI2061,IN0020200401
690GOI65,IN0020250018
695GOI2061,IN0020210202
702IIFCL28,INE787H07172
718GS2037,IN0020230077
719GOI2060,IN0020200039
724GOI55,IN0020250075
725GOI2063,IN0020230044
733MHSDL44,IN2220240096
734GOI2064,IN0020240035
736IIFCL28,INE787H07149
738GOI2027,IN0020220037
74GOI2062,IN0020220094
751HUDCO28,INE031A07865
754GOI2036,IN0020220029
768KARSDL34,IN1920220127
772CG2055,IN0020150077
778KLSDL45,IN2020250154
7NR Retail Limited,INE413X01035
7SEAS ENTERTAINMENT LIMITED,INE454F01010
812REC27,INE020B07GH7
828GOI2027,IN0020070069
830NHAI27,INE906B07CB9
830PFC2027,INE134E07208
866NTPC33,INE733E07JG5
873IIFCL29C,INE787H07362
876HUDCO28,INE031A07949
879NHPC28,INE848E07559
891NTPC33,INE733E07JJ9
91TB050326,IN002025X364
920GOI2030,IN0020130053
990IFCI32C,INE039A09PO2
A B Cotspin India Limited,INE08PH01015
A B Infrabuild Limited,INE00YB01025
A.F. ENTERPRISES LTD,INE663P01015
A.K.CAPITAL SERVICES LTD.,INE701G01012
A-1 LIMITED,INE911Z01025
A2Z Infra Engineering Limited,INE619I01012
AAA Technologies Limited,INE0D0U01013
Aadhar Housing Finance Limited,INE883F01010
AADI INDUSTRIES LTD.,INE563D01013
Aakash Exploration Services Limited,INE087Z01024
Aanchal Ispat Limited,INE322R01022
AAREY DRUGS & PHARMACEUTICALS,INE198H01019
AARNAV FASHIONS LIMITED,INE750R01016
Aaron Industries Limited,INE721Z01010
Aartech Solonics Limited,INE01C001026
Aarti Drugs Limited,INE767A01016
Aarti Industries Limited,INE769A01020
Aarti Pharmalabs Limited,INE0LRU01027
Aarti Surfactants Limited,INE09EO01013
Aarvi Encon Limited,INE754X01016
Aastamangalam Finance Limited,INE819K01014
Aavas Financiers Limited,INE216P01012
AAYUSH ART AND BULLION LIMITED,INE777X01017
AAYUSH WELLNESS LIMITED,INE430R01023
